SampleID,Sex,Trio (family),SMN1/2 genotype (public refs),FASTQ dir (Phase 3),Example R1/R2 pair (pattern),WGS 30× (NYGC CRAM)
NA00232,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA00232/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA10684,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA10684/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA22592,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA22592/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA09677,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA09677/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA03813,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA03813/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA03815,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA03815/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA20760,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA20760/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA20787,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA20787/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA23687,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA23687/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA23688,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA23688/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA20764,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA20764/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG00346,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG00346/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG00281,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG00281/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG01773,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01773/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
