SampleID	ENA_FASTQ_TSV	NYGC30x_TSV	IGSR_Phase3_FASTQ_dir	Example_R1_R2_pattern	Example_fetch_commands
HG00255	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG00255%22%20AND%20tax_eq(9606)	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG00255%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG00255/sequence_read/	".../ERR*/ERR*_1.filt.fastq.gz	.../ERR*_2.filt.fastq.gz"	"## FASTQs via ENA:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG00255%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1 && $NF!=""""{gsub(/;/,""\n"",$NF); print $NF}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG00255
## NYGC 30x CRAM/BAM if no FASTQs:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG00255%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1{for(i=1;i<=NF;i++) if($i ~ /_ftp$/){gsub(/;/,""\n"",$i); print $i}}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG00255
"
HG00281	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG00281%22%20AND%20tax_eq(9606)	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG00281%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG00281/sequence_read/	".../ERR*/ERR*_1.filt.fastq.gz	.../ERR*_2.filt.fastq.gz"	"## FASTQs via ENA:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG00281%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1 && $NF!=""""{gsub(/;/,""\n"",$NF); print $NF}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG00281
## NYGC 30x CRAM/BAM if no FASTQs:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG00281%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1{for(i=1;i<=NF;i++) if($i ~ /_ftp$/){gsub(/;/,""\n"",$i); print $i}}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG00281
"
HG00329	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG00329%22%20AND%20tax_eq(9606)	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG00329%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG00329/sequence_read/	".../ERR*/ERR*_1.filt.fastq.gz	.../ERR*_2.filt.fastq.gz"	"## FASTQs via ENA:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG00329%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1 && $NF!=""""{gsub(/;/,""\n"",$NF); print $NF}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG00329
## NYGC 30x CRAM/BAM if no FASTQs:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG00329%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1{for(i=1;i<=NF;i++) if($i ~ /_ftp$/){gsub(/;/,""\n"",$i); print $i}}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG00329
"
HG00346	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG00346%22%20AND%20tax_eq(9606)	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG00346%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG00346/sequence_read/	".../ERR*/ERR*_1.filt.fastq.gz	.../ERR*_2.filt.fastq.gz"	"## FASTQs via ENA:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG00346%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1 && $NF!=""""{gsub(/;/,""\n"",$NF); print $NF}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG00346
## NYGC 30x CRAM/BAM if no FASTQs:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG00346%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1{for(i=1;i<=NF;i++) if($i ~ /_ftp$/){gsub(/;/,""\n"",$i); print $i}}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG00346
"
HG01137	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01137%22%20AND%20tax_eq(9606)	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG01137%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01137/sequence_read/	".../ERR*/ERR*_1.filt.fastq.gz	.../ERR*_2.filt.fastq.gz"	"## FASTQs via ENA:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01137%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1 && $NF!=""""{gsub(/;/,""\n"",$NF); print $NF}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG01137
## NYGC 30x CRAM/BAM if no FASTQs:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG01137%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1{for(i=1;i<=NF;i++) if($i ~ /_ftp$/){gsub(/;/,""\n"",$i); print $i}}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG01137
"
HG01377	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01377%22%20AND%20tax_eq(9606)	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG01377%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01377/sequence_read/	".../ERR*/ERR*_1.filt.fastq.gz	.../ERR*_2.filt.fastq.gz"	"## FASTQs via ENA:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01377%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1 && $NF!=""""{gsub(/;/,""\n"",$NF); print $NF}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG01377
## NYGC 30x CRAM/BAM if no FASTQs:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG01377%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1{for(i=1;i<=NF;i++) if($i ~ /_ftp$/){gsub(/;/,""\n"",$i); print $i}}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG01377
"
HG01701	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01701%22%20AND%20tax_eq(9606)	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG01701%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01701/sequence_read/	".../ERR*/ERR*_1.filt.fastq.gz	.../ERR*_2.filt.fastq.gz"	"## FASTQs via ENA:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01701%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1 && $NF!=""""{gsub(/;/,""\n"",$NF); print $NF}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG01701
## NYGC 30x CRAM/BAM if no FASTQs:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG01701%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1{for(i=1;i<=NF;i++) if($i ~ /_ftp$/){gsub(/;/,""\n"",$i); print $i}}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG01701
"
HG01748	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01748%22%20AND%20tax_eq(9606)	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG01748%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01748/sequence_read/	".../ERR*/ERR*_1.filt.fastq.gz	.../ERR*_2.filt.fastq.gz"	"## FASTQs via ENA:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01748%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1 && $NF!=""""{gsub(/;/,""\n"",$NF); print $NF}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG01748
## NYGC 30x CRAM/BAM if no FASTQs:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG01748%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1{for(i=1;i<=NF;i++) if($i ~ /_ftp$/){gsub(/;/,""\n"",$i); print $i}}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG01748
"
HG01755	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01755%22%20AND%20tax_eq(9606)	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG01755%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01755/sequence_read/	".../ERR*/ERR*_1.filt.fastq.gz	.../ERR*_2.filt.fastq.gz"	"## FASTQs via ENA:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01755%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1 && $NF!=""""{gsub(/;/,""\n"",$NF); print $NF}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG01755
## NYGC 30x CRAM/BAM if no FASTQs:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG01755%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1{for(i=1;i<=NF;i++) if($i ~ /_ftp$/){gsub(/;/,""\n"",$i); print $i}}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG01755
"
HG01773	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01773%22%20AND%20tax_eq(9606)	https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG01773%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01773/sequence_read/	".../ERR*/ERR*_1.filt.fastq.gz	.../ERR*_2.filt.fastq.gz"	"## FASTQs via ENA:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,library_strategy,library_layout,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01773%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1 && $NF!=""""{gsub(/;/,""\n"",$NF); print $NF}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG01773
## NYGC 30x CRAM/BAM if no FASTQs:
curl -fsSL 'https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,first_public,instrument_model,fastq_ftp,bam_ftp,submitted_ftp&query=sample_alias%3D%22HG01773%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)' | awk -F'\t' 'NR>1{for(i=1;i<=NF;i++) if($i ~ /_ftp$/){gsub(/;/,""\n"",$i); print $i}}' | sed 's#^#ftp://#' | aria2c -c -x8 -s8 -d HG01773
"
